path	type	category	risk	retention_policy	size_bytes	age_days	note
backups/event_replay_cycle_fix	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/event_replay_real	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/event_schema_contract	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/event_store_postgres_persist	dir	db_backup_candidate	HIGH	review_db_dump	-1	8	db_backup_or_volume_review_no_restore
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/docs_erp_before_toplu_smoke.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	3377	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/runtime_before_toplu_smoke.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	69522	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/test_logs	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/test_logs/__internal_erp_runtime_cashbankpay.log	file	backup_candidate	MEDIUM	review_old_backup	3099	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/test_logs/__internal_erp_runtime_journalpost.log	file	backup_candidate	MEDIUM	review_old_backup	2953	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/test_logs/__internal_erp_runtime_ledgerpost.log	file	backup_candidate	MEDIUM	review_old_backup	3032	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/test_logs/__internal_erp_runtime_purchaseinvoice.log	file	backup_candidate	MEDIUM	review_old_backup	3983	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/test_logs/__internal_erp_runtime_salesinvoice.log	file	backup_candidate	MEDIUM	review_old_backup	3804	3	backup_retention_review_no_delete
backups/faz3_10_10a_erp_runtime_toplu_smoke_20260426_075132/test_logs/__internal_erp_runtime_taxcalc.log	file	backup_candidate	MEDIUM	review_old_backup	3303	3	backup_retention_review_no_delete
backups/faz3_10_10a_finish_runtime_toplu_smoke_20260426_075423	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_10a_finish_runtime_toplu_smoke_20260426_075423/docs_erp_before_10_10a_finish.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	3611	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/docs_erp_before_final_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	3611	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/runtime_before_final_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	69522	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/test_logs	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/test_logs/__internal_erp_runtime_cashbankpay.log	file	backup_candidate	MEDIUM	review_old_backup	3099	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/test_logs/__internal_erp_runtime_journalpost.log	file	backup_candidate	MEDIUM	review_old_backup	2953	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/test_logs/__internal_erp_runtime_ledgerpost.log	file	backup_candidate	MEDIUM	review_old_backup	3032	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/test_logs/__internal_erp_runtime_purchaseinvoice.log	file	backup_candidate	MEDIUM	review_old_backup	3983	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/test_logs/__internal_erp_runtime_salesinvoice.log	file	backup_candidate	MEDIUM	review_old_backup	3804	3	backup_retention_review_no_delete
backups/faz3_10_10b_erp_runtime_final_muhur_20260426_075555/test_logs/__internal_erp_runtime_taxcalc.log	file	backup_candidate	MEDIUM	review_old_backup	3303	3	backup_retention_review_no_delete
backups/faz3_10_1a_erp_runtime_kernel_contract_20260426_063354	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_1b_erp_runtime_kernel_default_impl_20260426_063447	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_1b_erp_runtime_kernel_default_impl_20260426_063447/erp_runtime_kernel_before_default_impl.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	1995	3	backup_retention_review_no_delete
backups/faz3_10_1c_erp_runtime_kernel_muhur_20260426_063520	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_1c_erp_runtime_kernel_muhur_20260426_063520/docs_erp_before_kernel_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	678	3	backup_retention_review_no_delete
backups/faz3_10_1c_erp_runtime_kernel_muhur_20260426_063520/erp_runtime_kernel_before_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	2479	3	backup_retention_review_no_delete
backups/faz3_10_2a_erp_runtime_fiscal_guard_contract_20260426_063636	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_2b_erp_runtime_fiscal_guard_default_impl_20260426_063732	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_2b_erp_runtime_fiscal_guard_default_impl_20260426_063732/fiscalguard_before_default_impl.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	2124	3	backup_retention_review_no_delete
backups/faz3_10_2c_erp_runtime_fiscal_guard_postgres_provider_20260426_063823	dir	db_backup_candidate	HIGH	review_db_dump	-1	3	db_backup_or_volume_review_no_restore
backups/faz3_10_2c_erp_runtime_fiscal_guard_postgres_provider_20260426_063823/fiscalguard_before_postgres_provider.tar.gz	file	db_backup_candidate	HIGH	review_db_dump	2962	3	db_backup_or_volume_review_no_restore
