path	type	category	risk	size_bytes	note
docs/phase4/14_4_backfill_rebuild_report.md	file	generated_report	LOW	6215	phase4_evidence_keep
docs/phase4/14_4_backfill_rebuild_standard.md	file	generated_report	LOW	1557	phase4_evidence_keep
docs/phase4/14_4_final_db_performance_closure_report.md	file	generated_report	LOW	911	phase4_evidence_keep
docs/phase4/14_5_1_db_master_evidence_collector_report.md	file	generated_report	LOW	2246	phase4_evidence_keep
docs/phase4/14_5_1_db_master_evidence_collector_standard.md	file	generated_report	LOW	900	phase4_evidence_keep
docs/phase4/14_5_1_db_master_evidence_inventory.tsv	file	generated_report	LOW	2281	phase4_evidence_keep
docs/phase4/14_5_2_db_production_readiness_scorecard.tsv	file	generated_report	LOW	607	phase4_evidence_keep
docs/phase4/14_5_2_db_production_readiness_scorecard_report.md	file	generated_report	LOW	2059	phase4_evidence_keep
docs/phase4/14_5_2_db_production_readiness_scorecard_standard.md	file	generated_report	LOW	984	phase4_evidence_keep
docs/phase4/14_5_3_db_known_risks_deferred_register_report.md	file	generated_report	LOW	2672	phase4_evidence_keep
docs/phase4/14_5_3_db_known_risks_deferred_register_standard.md	file	generated_report	LOW	1106	phase4_evidence_keep
docs/phase4/14_5_3_db_known_risks_register.tsv	file	generated_report	LOW	1726	phase4_evidence_keep
docs/phase4/14_5_4_db_operations_runbook.md	file	generated_report	LOW	7547	phase4_evidence_keep
docs/phase4/14_5_4_db_runbook_incident_checklist_report.md	file	generated_report	LOW	2142	phase4_evidence_keep
docs/phase4/14_5_4_db_runbook_incident_checklist_standard.md	file	generated_report	LOW	999	phase4_evidence_keep
docs/phase4/14_5_5_db_final_closure_gate_report.md	file	generated_report	LOW	3180	phase4_evidence_keep
docs/phase4/14_5_5_db_final_closure_gate_standard.md	file	generated_report	LOW	1262	phase4_evidence_keep
docs/phase4/14_5_archive_partition_retention_candidate_execution.sh	file	generated_report	LOW	851	phase4_evidence_keep
docs/phase4/14_5_archive_partition_retention_manifest.tsv	file	generated_report	LOW	2649	phase4_evidence_keep
docs/phase4/14_5_archive_partition_retention_matrix.tsv	file	generated_report	LOW	740	phase4_evidence_keep
docs/phase4/14_5_archive_partition_retention_report.md	file	generated_report	LOW	6675	phase4_evidence_keep
docs/phase4/14_5_archive_partition_retention_standard.md	file	generated_report	LOW	1377	phase4_evidence_keep
docs/phase4/14_6_backup_restore_candidate_execution.sh	file	generated_report	LOW	848	phase4_evidence_keep
docs/phase4/14_6_backup_restore_verification_manifest.tsv	file	generated_report	LOW	1631	phase4_evidence_keep
docs/phase4/14_6_backup_restore_verification_matrix.tsv	file	generated_report	LOW	712	phase4_evidence_keep
docs/phase4/14_6_backup_restore_verification_report.md	file	generated_report	LOW	6060	phase4_evidence_keep
docs/phase4/14_6_backup_restore_verification_standard.md	file	generated_report	LOW	1356	phase4_evidence_keep
docs/phase4/14_7_migration_lifecycle_import_tests_inventory.tsv	file	generated_report	LOW	589	phase4_evidence_keep
docs/phase4/14_7_migration_lifecycle_import_tests_matrix.tsv	file	generated_report	LOW	515	phase4_evidence_keep
docs/phase4/14_7_migration_lifecycle_import_tests_report.md	file	generated_report	LOW	6206	phase4_evidence_keep
docs/phase4/14_7_migration_lifecycle_import_tests_standard.md	file	generated_report	LOW	1069	phase4_evidence_keep
docs/phase4/14_migration_lifecycle_import_final_closure_report.md	file	generated_report	LOW	893	phase4_evidence_keep
docs/phase4/15_1_operational_readmodel_tables_inventory.tsv	file	generated_report	LOW	572	phase4_evidence_keep
docs/phase4/15_1_operational_readmodel_tables_report.md	file	generated_report	LOW	1243	phase4_evidence_keep
docs/phase4/15_1_operational_readmodel_tables_standard.md	file	generated_report	LOW	1112	phase4_evidence_keep
docs/phase4/15_2_finance_reporting_mart_inventory.tsv	file	generated_report	LOW	408	phase4_evidence_keep
docs/phase4/15_2_finance_reporting_mart_matrix.tsv	file	generated_report	LOW	506	phase4_evidence_keep
docs/phase4/15_2_finance_reporting_mart_report.md	file	generated_report	LOW	3993	phase4_evidence_keep
docs/phase4/15_2_finance_reporting_mart_standard.md	file	generated_report	LOW	1719	phase4_evidence_keep
docs/phase4/15_2_readmodel_apply_candidate_execution.sh	file	generated_report	LOW	1202	phase4_evidence_keep
docs/phase4/15_2_readmodel_apply_gate_report.md	file	generated_report	LOW	2385	phase4_evidence_keep
docs/phase4/15_2_readmodel_apply_gate_standard.md	file	generated_report	LOW	1215	phase4_evidence_keep
docs/phase4/15_3_ebelge_export_reporting_mart_inventory.tsv	file	generated_report	LOW	809	phase4_evidence_keep
docs/phase4/15_3_ebelge_export_reporting_mart_matrix.tsv	file	generated_report	LOW	616	phase4_evidence_keep
docs/phase4/15_3_ebelge_export_reporting_mart_report.md	file	generated_report	LOW	4671	phase4_evidence_keep
docs/phase4/15_3_ebelge_export_reporting_mart_standard.md	file	generated_report	LOW	2227	phase4_evidence_keep
docs/phase4/15_3_readmodel_controlled_apply_report.md	file	generated_report	LOW	2042	phase4_evidence_keep
docs/phase4/15_3_readmodel_controlled_apply_standard.md	file	generated_report	LOW	1208	phase4_evidence_keep
docs/phase4/15_3_readmodel_post_apply_inventory.tsv	file	generated_report	LOW	1028	phase4_evidence_keep
docs/phase4/15_4_payment_reconciliation_reporting_mart_inventory.tsv	file	generated_report	LOW	843	phase4_evidence_keep
docs/phase4/15_4_payment_reconciliation_reporting_mart_matrix.tsv	file	generated_report	LOW	744	phase4_evidence_keep
docs/phase4/15_4_payment_reconciliation_reporting_mart_report.md	file	generated_report	LOW	5471	phase4_evidence_keep
