config_path	category	risk	tempo_marker_count	otel_marker_count	trace_id_marker_count	span_id_marker_count	request_id_marker_count	tenant_marker_count	service_marker_count	route_marker_count	redaction_marker_count	note
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_gateway_route_catalog_live_visibility_20260426_231043/logs/health_live.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_gateway_route_catalog_live_visibility_20260426_231043/logs/health_ready.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_gateway_route_catalog_live_visibility_20260426_231043/logs/internal_routes.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	23	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/health_live.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/health_ready.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/internal_routes.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	24	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/journal_observability.log	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	282	0	0	155	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/observability_headers.txt	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	0	3	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/observability_payload.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	1	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/observability_response.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	1	1	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,redaction_marker_missing_review
