config_path	category	risk	loki_marker_count	promtail_marker_count	log_agent_marker_count	docker_logging_marker_count	tenant_label_marker_count	service_label_marker_count	trace_label_marker_count	redaction_marker_count	note
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3c_fix_gateway_observability_final_muhur_20260426_232602/logs/missing_bearer_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_4a_step13_gateway_final_muhur_20260426_232851/logs/health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_4a_step13_gateway_final_muhur_20260426_232851/logs/health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_4a_step13_gateway_final_muhur_20260426_232851/logs/internal_policy_final.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_4a_step13_gateway_final_muhur_20260426_232851/logs/internal_routes_final.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_4a_step13_gateway_final_muhur_20260426_232851/logs/post_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_4a_step13_gateway_final_muhur_20260426_232851/logs/step13_final_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_4a_step13_gateway_final_muhur_20260426_232851/logs/step13_final_response.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_1a_admin_panel_discovery_20260426_233259/logs/health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_1a_admin_panel_discovery_20260426_233259/logs/health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_1a_admin_panel_discovery_20260426_233259/logs/internal_routes.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_1a_admin_panel_discovery_20260426_233557/logs/health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_1a_admin_panel_discovery_20260426_233557/logs/health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_1a_admin_panel_discovery_20260426_233557/logs/internal_routes.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_1b_panel_target_contract_20260426_234205/logs/gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_1b_panel_target_contract_20260426_234205/logs/gateway_health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2a_panel_erp_runtime_smoke_ui_20260426_234800/logs/gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2a_panel_erp_runtime_smoke_ui_20260426_234800/logs/gateway_health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2b_panel_live_positive_api_muhur_20260427_000449/logs/gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2b_panel_live_positive_api_muhur_20260427_000449/logs/gateway_health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2b_panel_live_positive_api_muhur_20260427_000449/logs/panel_live_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2b_panel_live_positive_api_muhur_20260427_000449/logs/panel_positive_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2b_panel_live_positive_api_muhur_20260427_000449/logs/post_gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2c_panel_ui_final_muhur_20260427_000653/logs/gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2c_panel_ui_final_muhur_20260427_000653/logs/gateway_health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2c_panel_ui_final_muhur_20260427_000653/logs/panel_final_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2c_panel_ui_final_muhur_20260427_000653/logs/panel_final_positive_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_2c_panel_ui_final_muhur_20260427_000653/logs/post_gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3a_content_type_header_diagnose_20260427_001443/logs/direct_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3a_content_type_header_diagnose_20260427_001443/logs/direct_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3a_content_type_header_diagnose_20260427_001443/logs/health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3a_content_type_header_diagnose_20260427_001443/logs/panel_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3a_content_type_header_diagnose_20260427_001443/logs/panel_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix1_panel_api_content_type_cleanup_resume_20260427_002000/logs/direct_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix1_panel_api_content_type_cleanup_resume_20260427_002000/logs/direct_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix1_panel_api_content_type_cleanup_resume_20260427_002000/logs/gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix1_panel_api_content_type_cleanup_resume_20260427_002000/logs/panel_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix1_panel_api_content_type_cleanup_resume_20260427_002000/logs/panel_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix2_content_type_cleanup_muhur_20260427_002326/logs/direct_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix2_content_type_cleanup_muhur_20260427_002326/logs/direct_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix2_content_type_cleanup_muhur_20260427_002326/logs/gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix2_content_type_cleanup_muhur_20260427_002326/logs/panel_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix2_content_type_cleanup_muhur_20260427_002326/logs/panel_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3b_fix2_content_type_cleanup_muhur_20260427_002326/logs/post_health.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3c_header_cleanup_final_muhur_20260427_002547/logs/direct_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3c_header_cleanup_final_muhur_20260427_002547/logs/direct_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3c_header_cleanup_final_muhur_20260427_002547/logs/gateway_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3c_header_cleanup_final_muhur_20260427_002547/logs/panel_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3c_header_cleanup_final_muhur_20260427_002547/logs/panel_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_3c_header_cleanup_final_muhur_20260427_002547/logs/post_health.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_14_4a_faz3_final_muhur_20260427_002901/logs/faz3_final_body.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
